Monthly_Salary,Age,Overtime_Hours,Promotions,Employee_Satisfaction_Score,Years_At_Company,Job_Title_enc,Risigned_enc,Work_Hours_Per_Week,Training_Hours,Performance_Score,High_Performance,High_Salary,propensity_score
6750.0,31,24,2,4.47,0,5,0,41,95,5,1,1,0.441918304700148
6750.0,36,21,0,1.33,0,5,0,41,82,5,1,1,0.4427412238103047
6750.0,25,29,2,2.18,1,5,0,49,32,5,1,1,0.44300787165478295
6750.0,51,10,1,4.05,0,5,0,59,14,5,1,1,0.44312472614267934
6750.0,41,13,0,4.68,1,5,0,51,22,5,1,1,0.4432718813195876
6750.0,53,27,2,1.62,0,5,0,51,74,5,1,1,0.4439180992809362
6750.0,40,26,2,4.54,3,5,0,51,72,5,1,1,0.44393000360852813
6750.0,30,17,1,4.71,1,5,0,46,48,5,1,1,0.44403039448030146
6750.0,45,23,0,1.55,4,5,0,49,97,5,1,1,0.4442477789430726
6750.0,42,20,0,3.76,3,5,0,44,96,5,1,1,0.44460052965973024
6750.0,43,27,2,2.54,5,5,0,60,58,5,1,1,0.4446313149024119
6750.0,57,27,1,3.09,1,5,0,47,82,5,1,1,0.4447319147244322
6750.0,29,0,1,4.0,1,5,0,59,6,5,1,1,0.44488526764475483
6750.0,38,22,1,3.83,5,5,0,55,54,5,1,1,0.445345354430179
6750.0,43,27,1,1.33,0,5,0,45,57,5,1,1,0.4456417351789595
6750.0,33,26,0,4.55,4,5,0,47,29,5,1,1,0.44568129433196263
6750.0,37,25,0,4.17,4,5,0,42,88,5,1,1,0.445761019046913
6750.0,55,11,1,4.05,0,5,0,48,89,5,1,1,0.4464511063781684
6750.0,30,11,2,1.85,2,5,0,53,81,5,1,1,0.44655453013657637
6750.0,23,15,1,2.35,2,5,1,51,96,5,1,1,0.4469878346815222
6750.0,36,21,1,1.82,1,5,0,47,49,5,1,1,0.4473541073875183
6750.0,52,6,1,1.47,0,5,0,53,80,5,1,1,0.4476467199097246
6750.0,23,26,1,3.04,3,5,0,46,26,5,1,1,0.4481222316067595
7200.0,42,25,0,4.45,1,4,0,59,50,2,0,1,0.4493574808508523
6750.0,28,8,2,2.22,2,5,0,57,27,5,1,1,0.45006228218635963
6750.0,44,16,0,2.33,2,5,0,42,87,5,1,1,0.4509206503043192
6750.0,32,11,0,4.08,4,5,0,43,87,5,1,1,0.4510792000852897
6750.0,29,20,1,1.99,5,5,0,47,87,5,1,1,0.451141356709748
6750.0,41,26,0,3.67,0,5,0,37,26,5,1,1,0.45118747576517143
6750.0,33,28,0,2.73,4,5,0,36,94,5,1,1,0.45143545629580323
7800.0,26,20,0,4.31,1,4,0,53,66,3,0,1,0.45151601207905706
6750.0,44,16,0,2.19,5,5,0,54,42,5,1,1,0.45187428003341945
6750.0,45,15,0,3.08,6,5,0,51,81,5,1,1,0.45219176223462526
7200.0,31,27,0,4.7,0,4,0,55,5,2,0,1,0.45238765931302055
6750.0,49,3,0,3.87,0,5,0,48,34,5,1,1,0.45240949201861286
6750.0,30,25,2,3.19,9,5,0,58,68,5,1,1,0.4526195424091269
6750.0,31,0,2,4.21,3,5,0,60,21,5,1,1,0.45268683401317245
6750.0,58,9,1,3.81,2,5,0,51,78,5,1,1,0.45298026356001747
6750.0,24,17,0,2.99,0,5,0,36,21,5,1,1,0.45313601769531014
6750.0,53,26,1,3.33,2,5,0,50,11,5,1,1,0.4532808941429965
6750.0,35,16,0,2.49,4,5,0,47,44,5,1,1,0.4534176282704295
8400.0,47,21,1,3.57,0,4,0,56,99,4,1,1,0.4534297297669973
8400.0,27,23,0,3.55,0,4,0,54,23,4,1,1,0.4536570497647421
6600.0,59,27,0,1.72,0,4,0,58,75,1,0,1,0.4536638940809045
7200.0,51,24,0,4.12,2,4,0,57,87,2,0,1,0.453772744060073
9000.0,32,29,0,3.42,3,4,0,52,88,5,1,1,0.4538707664359182
9000.0,48,23,1,4.34,1,4,0,59,77,5,1,1,0.4538985560203576
6750.0,45,3,0,3.53,2,5,0,48,57,5,1,1,0.4539304538835229
8400.0,30,10,0,1.51,0,4,0,60,50,4,1,1,0.45424105696886746
6750.0,32,13,2,2.63,3,5,0,52,46,5,1,1,0.4542969185636049
6750.0,23,10,0,2.33,1,5,1,49,30,5,1,1,0.45437531667000186
6750.0,54,19,2,3.87,1,5,1,56,62,5,1,1,0.454743803990284
6750.0,44,29,2,2.15,6,5,0,52,75,5,1,1,0.4548239454198003
6750.0,57,8,0,2.18,0,5,0,41,93,5,1,1,0.4551608906002918
8400.0,43,29,1,4.3,0,4,0,53,63,4,1,1,0.4551788320232332
6750.0,30,9,2,1.69,5,5,0,60,34,5,1,1,0.45521236929019704
6750.0,24,16,0,1.49,2,5,0,33,91,5,1,1,0.45534747736134795
6750.0,36,28,0,1.5,0,5,0,33,33,5,1,1,0.45565355539642993
6750.0,45,12,0,3.63,8,5,0,60,28,5,1,1,0.4557198398588969
6750.0,40,0,0,3.03,4,5,0,53,46,5,1,1,0.4559794267375617
6750.0,46,0,0,2.39,2,5,0,46,86,5,1,1,0.45608069158939435
9000.0,33,27,0,3.23,2,4,0,59,6,5,1,1,0.4563809343570535
8400.0,48,29,0,3.67,0,4,0,54,33,4,1,1,0.4563884030172876
6750.0,44,8,1,2.26,3,5,0,58,2,5,1,1,0.45652037833945297
6750.0,27,6,2,2.22,1,5,0,48,44,5,1,1,0.4565222899432366
6750.0,28,4,0,1.37,5,5,0,55,18,5,1,1,0.4565499085090242
6750.0,27,8,2,4.91,8,5,0,59,53,5,1,1,0.4565930469859863
6750.0,48,7,1,1.53,1,5,0,54,17,5,1,1,0.456623521918862
6750.0,32,21,0,3.47,6,5,0,47,24,5,1,1,0.45666916677046154
6750.0,60,10,0,4.2,4,5,0,51,56,5,1,1,0.45674500096364884
8400.0,24,23,0,2.71,0,4,0,44,86,4,1,1,0.4568899145909794
6750.0,56,13,1,2.97,3,5,0,56,18,5,1,1,0.45704247663570985
6750.0,27,14,1,3.5,0,5,0,41,0,5,1,1,0.45709659383054174
6750.0,33,10,1,2.63,6,5,0,52,66,5,1,1,0.45731827670854064
7800.0,23,19,0,4.06,6,4,0,60,67,3,0,1,0.4573331695025461
9000.0,51,19,0,4.2,2,4,0,56,90,5,1,1,0.4573492250990745
6750.0,45,21,0,1.44,9,5,0,59,34,5,1,1,0.4574105819664805
6750.0,40,27,1,1.15,8,5,0,55,47,5,1,1,0.4575513072857479
9000.0,51,21,1,4.81,1,4,0,56,87,5,1,1,0.4576470848870193
6750.0,42,28,1,3.72,8,5,0,54,27,5,1,1,0.4577056988690357
9000.0,42,11,0,2.66,3,4,0,60,98,5,1,1,0.45795809610382304
8400.0,24,28,1,1.1,1,4,0,55,39,4,1,1,0.4579776157002555
8400.0,33,5,0,3.75,0,4,0,59,35,4,1,1,0.4580701654627112
8400.0,43,23,0,4.77,5,4,0,57,93,4,1,1,0.45824043933037306
6750.0,22,20,1,1.76,5,5,0,42,66,5,1,1,0.458249214219086
6600.0,23,29,1,1.34,5,4,0,58,82,1,0,1,0.45827621335623975
6750.0,37,16,2,4.62,1,5,0,44,25,5,1,1,0.45831318376852975
6750.0,54,24,1,2.93,4,5,0,47,56,5,1,1,0.458384523338869
6750.0,50,21,0,3.28,6,5,1,56,58,5,1,1,0.4584817803532367
6750.0,55,14,2,4.13,6,5,0,58,65,5,1,1,0.45848359064559896
9000.0,25,23,0,4.04,4,4,0,51,84,5,1,1,0.4585044500472937
6750.0,47,10,0,4.34,1,5,0,41,33,5,1,1,0.4586082769911905
9000.0,43,23,1,4.32,1,4,0,56,57,5,1,1,0.45877955528057773
6750.0,23,0,1,2.74,7,5,0,57,46,5,1,1,0.45894064854321986
7800.0,28,18,0,3.6,5,4,0,55,99,3,0,1,0.45901925407737854
6600.0,25,14,0,4.77,0,4,0,53,12,1,0,1,0.45902332566626514
7200.0,32,29,2,3.28,0,4,0,57,21,2,0,1,0.45904170417625123
6750.0,41,29,1,2.57,8,5,0,51,49,5,1,1,0.4590808958612382
6750.0,57,1,1,2.5,1,5,0,56,19,5,1,1,0.4591271676168512
9000.0,24,9,2,4.23,0,4,0,56,75,5,1,1,0.45923994825836906
7800.0,53,29,0,3.92,0,4,0,53,32,3,0,1,0.4592583027919249
6750.0,30,15,0,1.09,3,5,0,46,0,5,1,1,0.45932899595124316
6750.0,33,6,0,4.79,0,5,0,36,25,5,1,1,0.45936447486410237
6600.0,34,15,0,2.29,0,4,0,55,39,1,0,1,0.4594137733226668
6750.0,58,8,2,4.0,2,5,0,57,20,5,1,1,0.4594889290967341
9000.0,26,28,1,1.86,3,4,0,54,73,5,1,1,0.45953342604763453
6750.0,32,26,0,2.2,1,5,0,35,0,5,1,1,0.45958205019147635
6750.0,31,16,1,3.32,1,5,0,34,65,5,1,1,0.45964524339314466
6750.0,23,1,0,4.31,5,5,0,49,13,5,1,1,0.4597463830794013
9000.0,44,15,2,4.76,1,4,0,60,79,5,1,1,0.4598031835820182
9000.0,46,20,0,3.61,1,4,0,57,35,5,1,1,0.4599158128769888
6750.0,50,10,2,3.63,2,5,0,54,18,5,1,1,0.45994643549474434
6750.0,29,25,1,1.47,6,5,0,51,1,5,1,1,0.45999463654062805
9000.0,36,21,1,3.29,0,4,0,49,88,5,1,1,0.4600996442074665
6750.0,23,16,0,2.62,1,5,0,34,16,5,1,1,0.4601586525412216
6750.0,47,29,2,4.72,2,5,1,52,12,5,1,1,0.46030722736412083
6750.0,33,6,1,2.27,2,5,0,50,3,5,1,1,0.460355434372576
6750.0,30,25,2,3.96,0,5,0,34,29,5,1,1,0.46039092145683147
6600.0,31,22,1,3.05,0,4,0,53,39,1,0,1,0.4604128961571753
8400.0,32,13,1,2.09,0,4,0,60,29,4,1,1,0.4604305633977465
6750.0,30,0,0,3.57,4,5,1,51,75,5,1,1,0.4604367190378348
9000.0,29,18,1,2.84,0,4,0,57,18,5,1,1,0.460519428024411
9000.0,36,29,2,3.49,0,4,0,49,85,5,1,1,0.46054100445282525
6750.0,27,27,2,1.86,3,5,0,44,12,5,1,1,0.4605810209617776
8400.0,28,16,1,2.34,1,4,0,52,89,4,1,1,0.4606527310750065
6750.0,32,22,2,3.36,7,5,0,46,88,5,1,1,0.46084073534375186
6750.0,50,10,1,2.35,4,5,1,56,89,5,1,1,0.46085195972860454
7800.0,26,16,1,1.8,2,4,0,56,75,3,0,1,0.4608846730473342
7200.0,23,14,0,1.61,2,4,0,59,19,2,0,1,0.46092687653305436
6750.0,41,18,2,2.23,1,5,0,40,69,5,1,1,0.46099333156173966
6600.0,25,9,2,3.26,0,4,0,54,93,1,0,1,0.46101381532035135
6750.0,41,7,2,4.42,1,5,0,41,79,5,1,1,0.46102827019454523
6750.0,23,11,0,1.17,1,5,0,30,78,5,1,1,0.46114427245329004
6600.0,38,19,1,2.92,0,4,0,56,39,1,0,1,0.46129352647022104
6750.0,38,4,1,1.7,4,5,0,49,71,5,1,1,0.4613111947222864
6750.0,50,8,1,3.59,8,5,0,58,69,5,1,1,0.4613300362168422
6600.0,25,26,0,3.36,5,4,0,55,47,1,0,1,0.4614335748604869
6750.0,37,23,1,1.85,1,5,0,36,40,5,1,1,0.4615405486761563
6750.0,59,17,1,2.75,6,5,1,59,90,5,1,1,0.461549247132454
9000.0,31,25,2,4.54,0,4,0,54,28,5,1,1,0.4615888896015593
9000.0,45,27,2,4.95,1,4,0,56,54,5,1,1,0.46159944407133346
9000.0,30,10,2,4.54,1,4,0,55,95,5,1,1,0.4616137542668209
8400.0,51,25,0,2.83,3,4,0,60,40,4,1,1,0.4616281221385419
6600.0,43,14,1,2.55,0,4,0,55,81,1,0,1,0.46164781950568745
6750.0,22,18,0,2.18,9,5,0,42,92,5,1,1,0.46167793807481466
6750.0,31,27,2,4.02,4,5,1,52,17,5,1,1,0.4617672277612921
9000.0,24,11,1,3.62,2,4,0,56,62,5,1,1,0.4619794610066877
6750.0,51,20,0,4.51,4,5,0,41,39,5,1,1,0.4619946213141674
6600.0,38,27,2,2.31,0,4,0,60,10,1,0,1,0.46201149674281616
8400.0,29,23,0,3.9,2,4,0,52,24,4,1,1,0.4620992741205309
6750.0,40,4,0,4.48,6,5,0,44,87,5,1,1,0.46220440359349446
6750.0,32,6,0,1.79,8,5,0,51,70,5,1,1,0.46225367236412346
8400.0,28,3,0,1.36,2,4,0,56,93,4,1,1,0.4622637002371707
6750.0,56,19,1,3.27,6,5,0,53,40,5,1,1,0.46236440631133036
7200.0,51,25,0,4.95,3,4,0,58,28,2,0,1,0.46240061366684426
9000.0,31,29,2,3.16,0,4,0,47,80,5,1,1,0.46244208998967723
8400.0,31,18,1,4.59,1,4,0,51,60,4,1,1,0.4624883528600456
6750.0,53,2,1,3.6,0,5,0,38,99,5,1,1,0.46261840723422953
6600.0,36,26,0,4.76,1,4,0,48,30,1,0,1,0.4626786263373613
6600.0,50,28,2,4.11,4,4,0,59,99,1,0,1,0.46269696404933625
6600.0,52,18,0,1.7,1,4,0,54,85,1,0,1,0.46274455185258323
6750.0,33,13,2,2.94,0,5,0,39,36,5,1,1,0.46295213545729125
6750.0,60,17,1,2.46,1,5,0,44,38,5,1,1,0.46307098235068933
6750.0,43,21,0,1.79,4,5,1,51,28,5,1,1,0.4631195816177591
6750.0,50,6,2,2.42,1,5,0,49,47,5,1,1,0.4631941166878619
7800.0,23,9,2,4.72,1,4,0,57,52,3,0,1,0.46322990994575924
7200.0,36,13,0,3.49,3,4,0,52,97,2,0,1,0.46325536545625673
8400.0,40,26,0,2.92,3,4,0,51,71,4,1,1,0.46327951092029923
7200.0,33,18,1,3.59,3,4,0,59,44,2,0,1,0.463284423947893
7200.0,31,12,2,3.89,2,4,0,56,97,2,0,1,0.46332580316533495
6750.0,31,2,2,2.01,0,5,0,44,40,5,1,1,0.4633383148878978
6750.0,24,10,0,4.47,1,5,0,30,33,5,1,1,0.46339250237199053
7200.0,35,26,2,4.74,3,4,0,54,79,2,0,1,0.46341361039611834
9000.0,23,7,0,4.71,3,4,0,59,15,5,1,1,0.46343237663488596
6600.0,23,23,1,3.36,2,4,0,56,6,1,0,1,0.46344995254448096
6750.0,34,24,1,3.11,4,5,0,36,61,5,1,1,0.46346833725650755
6600.0,27,22,1,4.48,0,4,1,60,6,1,0,1,0.4637838655351923
6750.0,32,27,2,1.25,1,5,0,38,20,5,1,1,0.46382532387483744
8400.0,22,25,2,1.32,5,4,0,59,83,4,1,1,0.46386929632937085
6750.0,37,26,0,3.29,8,5,0,48,2,5,1,1,0.46393727903015247
9000.0,40,24,0,2.72,0,4,1,60,16,5,1,1,0.46395979194172743
6750.0,57,27,1,1.55,3,5,0,48,2,5,1,1,0.4639755074648035
9000.0,46,29,1,3.79,1,4,0,56,11,5,1,1,0.46421390576059973
6600.0,53,24,0,3.63,3,4,0,51,97,1,0,1,0.46427522961994416
6750.0,50,10,0,1.6,4,5,0,42,84,5,1,1,0.464282006488103
8400.0,54,22,0,2.56,4,4,0,56,97,4,1,1,0.4643397989517039
6750.0,39,19,2,2.74,9,5,0,57,49,5,1,1,0.4643751673197468
6750.0,27,15,2,1.72,9,5,0,52,87,5,1,1,0.46437791275363455
6750.0,24,27,0,4.7,4,5,0,30,17,5,1,1,0.4643874833750015
7200.0,32,26,0,4.13,3,4,0,53,13,2,0,1,0.46447781356624673
9000.0,51,14,1,1.93,0,4,0,56,80,5,1,1,0.46461297926987455
9000.0,30,27,0,3.11,9,4,0,59,83,5,1,1,0.4646275613100813
6750.0,51,24,0,4.2,5,5,0,41,29,5,1,1,0.46464708639709323
9000.0,57,5,0,2.12,0,4,0,56,94,5,1,1,0.4647226509276315
7200.0,52,27,0,2.31,1,4,0,53,38,2,0,1,0.46479207404489076
9000.0,32,28,2,2.52,4,4,0,60,49,5,1,1,0.46480971487799705
6750.0,24,20,0,1.92,6,5,0,38,45,5,1,1,0.4648552729558484
6750.0,38,27,2,2.34,0,5,0,36,13,5,1,1,0.4648622275564223
6750.0,54,24,1,1.66,2,5,0,34,95,5,1,1,0.4648899579865894
6750.0,35,3,1,3.37,4,5,0,52,0,5,1,1,0.46493297304082803
6750.0,32,12,2,4.22,1,5,0,34,71,5,1,1,0.4649607160845371
9000.0,22,5,2,4.98,2,4,0,58,62,5,1,1,0.46497465582961095
6600.0,25,15,0,4.78,7,4,0,58,65,1,0,1,0.46499053336063434
6600.0,41,24,1,4.3,5,4,0,58,69,1,0,1,0.4650453382580686
8400.0,38,9,2,3.27,0,4,0,56,82,4,1,1,0.4650832362549917
6750.0,57,10,0,2.7,9,5,0,55,75,5,1,1,0.4650979645608033
9000.0,37,10,0,4.73,3,4,0,54,68,5,1,1,0.4651992598174593
8400.0,40,28,2,2.69,3,4,0,59,53,4,1,1,0.46523155604376415
7800.0,56,13,0,2.29,0,4,0,56,55,3,0,1,0.46525682371566535
6600.0,36,29,0,2.41,0,4,0,44,39,1,0,1,0.465497838099587
6600.0,35,25,0,4.8,8,4,0,56,84,1,0,1,0.46549883210089327
7200.0,31,5,2,2.77,0,4,0,57,74,2,0,1,0.465561619868184
7800.0,39,12,0,2.83,3,4,0,57,58,3,0,1,0.4657151075550477
7800.0,25,21,2,4.98,0,4,0,51,21,3,0,1,0.46571827464182286
6600.0,39,24,2,3.94,1,4,0,57,26,1,0,1,0.4657326952333693
6750.0,42,21,1,3.75,7,5,0,49,22,5,1,1,0.46576229807381736
7200.0,28,3,1,4.55,1,4,0,56,48,2,0,1,0.46576415548620953
6600.0,30,6,2,3.29,1,4,0,57,79,1,0,1,0.4659496022090486
6750.0,32,13,1,1.42,6,5,0,43,82,5,1,1,0.46600562394877837
8400.0,31,28,1,2.15,2,4,0,49,61,4,1,1,0.46601479848680694
6750.0,42,9,2,2.06,2,5,0,45,53,5,1,1,0.4660633152578787
6600.0,40,17,0,4.52,1,4,0,45,80,1,0,1,0.46606679419763125
9000.0,34,26,2,3.87,6,4,0,59,85,5,1,1,0.4662551155295738
6600.0,31,5,1,1.6,0,4,0,58,40,1,0,1,0.4663822504783804
6750.0,36,19,1,1.63,9,5,0,48,81,5,1,1,0.46648833122950517
9000.0,29,25,2,3.27,0,4,0,49,45,5,1,1,0.4666196162758418
6750.0,31,3,1,1.56,3,5,0,48,12,5,1,1,0.4666416934489344
6750.0,39,7,2,4.94,2,5,0,46,9,5,1,1,0.46668424284328003
6750.0,58,26,1,1.89,7,5,0,52,32,5,1,1,0.46674780129055965
6750.0,49,6,1,4.46,3,5,0,39,87,5,1,1,0.4668041604660817
9000.0,45,25,0,3.55,0,4,0,43,64,5,1,1,0.4668309201347863
9000.0,41,27,1,4.19,3,4,0,51,64,5,1,1,0.4670169644287839
7800.0,27,29,2,2.4,0,4,0,43,81,3,0,1,0.46703029260734924
8400.0,57,20,0,4.82,1,4,0,47,84,4,1,1,0.4671565430311592
6600.0,34,6,0,1.83,0,4,0,50,69,1,0,1,0.46715752987383147
7800.0,42,19,0,2.77,5,4,0,56,77,3,0,1,0.4671835639896426
6750.0,31,1,1,3.93,0,5,0,33,55,5,1,1,0.4671846678612849
6600.0,41,4,1,3.07,0,4,0,55,72,1,0,1,0.46722970580202317
6750.0,48,6,1,4.09,6,5,0,47,78,5,1,1,0.4673316536256319
6750.0,37,4,2,4.67,7,5,0,56,30,5,1,1,0.46734844775674533
7800.0,39,22,0,4.38,1,4,0,49,18,3,0,1,0.46734886048636715
6750.0,27,26,2,3.51,6,5,0,45,3,5,1,1,0.46743851429894456
6750.0,60,8,0,1.86,1,5,0,38,67,5,1,1,0.4674469583407981
7800.0,28,16,1,2.85,2,4,0,54,41,3,0,1,0.4675104013901821
6750.0,27,10,0,3.63,8,5,0,41,69,5,1,1,0.467579767955715
7200.0,35,27,1,3.86,4,4,0,48,93,2,0,1,0.46763688604363995
6750.0,48,6,0,2.48,5,5,0,40,98,5,1,1,0.4677564138880167
8400.0,52,13,1,4.48,0,4,0,58,20,4,1,1,0.46787823095039666
6600.0,44,14,0,1.37,1,4,1,58,89,1,0,1,0.46804087217577967
6750.0,22,2,2,1.56,2,5,0,46,14,5,1,1,0.46804312321939123
7800.0,30,2,2,2.79,1,4,0,60,61,3,0,1,0.46809343866035524
7800.0,28,18,1,2.64,4,4,0,58,38,3,0,1,0.46809493003008057
7200.0,33,0,0,3.76,4,4,0,56,91,2,0,1,0.46816102759640293
8400.0,26,24,0,4.27,1,4,0,42,31,4,1,1,0.46820970748543456
8400.0,28,8,1,1.9,0,4,0,58,5,4,1,1,0.4682658253687234
9000.0,24,29,0,4.98,9,4,0,50,89,5,1,1,0.46839449088362306
9000.0,36,19,0,2.84,1,4,0,44,73,5,1,1,0.4684818407371022
8400.0,58,4,0,4.6,0,4,0,56,48,4,1,1,0.46849026110081576
6750.0,43,12,2,1.89,2,5,0,42,54,5,1,1,0.4685631700204308
9000.0,60,21,0,1.69,0,4,0,51,60,5,1,1,0.46857634741384946
6600.0,26,9,2,3.5,2,4,0,54,82,1,0,1,0.46859197094844435
8400.0,37,14,0,4.14,5,4,0,53,84,4,1,1,0.46862175456055005
9000.0,49,4,0,2.58,1,4,0,53,91,5,1,1,0.46867756650611736
8400.0,48,25,1,1.31,1,4,0,56,29,4,1,1,0.46873053532285675
7800.0,52,27,2,1.81,3,4,0,60,65,3,0,1,0.4687749787765367
9000.0,30,27,0,3.16,8,4,0,56,60,5,1,1,0.46878291871107675
6600.0,31,12,1,2.16,1,4,0,59,2,1,0,1,0.46880566234234006
7200.0,41,18,0,1.09,5,4,0,60,53,2,0,1,0.4688148631240392
6750.0,56,19,2,1.68,1,5,0,40,57,5,1,1,0.4688152608048572
6750.0,44,20,1,1.36,6,5,1,59,7,5,1,1,0.4689314180854815
7800.0,28,20,1,1.78,4,4,0,55,59,3,0,1,0.46893542879750866
8400.0,38,20,0,3.6,7,4,0,60,48,4,1,1,0.46902465132480775
7800.0,51,1,0,4.73,1,4,0,51,98,3,0,1,0.46905121840007913
7800.0,30,0,0,4.49,2,4,0,56,29,3,0,1,0.4692098952820947
6750.0,58,9,0,3.48,5,5,1,57,23,5,1,1,0.4692517652046383
7800.0,54,24,1,4.18,0,4,0,52,26,3,0,1,0.46928168177325236
7200.0,31,25,1,4.04,0,4,0,43,40,2,0,1,0.46933199128609276
7200.0,47,11,0,1.79,0,4,0,51,60,2,0,1,0.4693352710770487
6600.0,32,5,1,1.7,1,4,0,56,58,1,0,1,0.4693505023128782
7200.0,56,29,0,4.34,3,4,0,52,35,2,0,1,0.4694017432510784
9000.0,25,29,2,3.64,3,4,0,49,56,5,1,1,0.4694056316409355
6750.0,22,15,1,1.54,8,5,0,45,48,5,1,1,0.46941947652456756
7800.0,50,12,1,4.74,4,4,0,59,76,3,0,1,0.46947284433733577
6750.0,46,19,0,2.52,2,5,0,34,21,5,1,1,0.46950162959313874
6750.0,58,0,1,4.35,1,5,0,41,60,5,1,1,0.4695414584351375
6750.0,33,7,2,2.07,8,5,0,56,42,5,1,1,0.46957154348970775
6750.0,32,14,0,2.58,4,5,0,35,35,5,1,1,0.4696075559551902
6750.0,42,24,1,4.41,6,5,0,35,72,5,1,1,0.46986985669343234
6750.0,25,20,0,1.02,6,5,0,39,15,5,1,1,0.47000889640920746
6600.0,22,19,2,4.27,7,4,0,60,63,1,0,1,0.47017941929953533
6750.0,52,21,2,4.8,8,5,0,46,84,5,1,1,0.47018098667815783
8400.0,29,1,1,2.57,3,4,0,59,65,4,1,1,0.47025168009571827
8400.0,28,2,1,1.98,3,4,0,55,98,4,1,1,0.47028729324388274
9000.0,53,24,2,4.53,6,4,0,60,98,5,1,1,0.4703228097910348
7200.0,29,22,1,3.21,6,4,0,54,76,2,0,1,0.47039302173999675
7800.0,33,9,2,1.8,1,4,0,58,53,3,0,1,0.4704860720989131
6750.0,28,6,0,2.71,2,5,0,31,42,5,1,1,0.4705498005816478
9000.0,32,7,2,4.09,1,4,0,51,89,5,1,1,0.47077218635589557
8400.0,45,20,1,4.94,5,4,0,58,48,4,1,1,0.4710044772296347
7800.0,53,24,1,4.29,2,4,0,49,75,3,0,1,0.4710229299863793
7800.0,36,18,1,4.86,6,4,0,56,70,3,0,1,0.4710485628311971
6750.0,29,7,0,4.97,9,5,0,43,51,5,1,1,0.47105398733425974
7800.0,29,20,2,1.26,0,4,0,44,98,3,0,1,0.47114698590988935
6600.0,46,3,1,2.34,3,4,0,60,88,1,0,1,0.4711943180984268
7200.0,28,11,0,4.16,0,4,0,46,15,2,0,1,0.4712101050127228
8400.0,49,21,1,3.08,1,4,0,46,93,4,1,1,0.47133647080281527
6750.0,40,17,1,1.23,1,5,0,31,54,5,1,1,0.47135069272192126
8400.0,22,21,2,4.14,8,4,0,58,85,4,1,1,0.4713784403696117
6750.0,41,12,0,2.64,5,5,0,32,96,5,1,1,0.471612583806024
7800.0,26,14,0,1.26,5,4,0,54,60,3,0,1,0.47162175763614234
6750.0,57,0,0,4.16,0,5,0,32,67,5,1,1,0.4716794322759432
7800.0,57,24,1,2.88,1,4,0,51,60,3,0,1,0.4716815863181302
9000.0,23,8,0,1.67,3,4,0,51,56,5,1,1,0.47171562984017384
7200.0,54,12,2,2.53,2,4,0,60,81,2,0,1,0.4717317190084002
8400.0,30,6,0,1.45,1,4,0,48,69,4,1,1,0.47174568695087266
6750.0,50,5,0,3.91,2,5,0,31,80,5,1,1,0.4717488846662351
9000.0,23,15,0,3.75,1,3,0,60,68,5,1,1,0.47176390080044367
