Monthly_Salary,Risigned_enc,Hire_Date_enc,Remote_Work_Frequency,Sick_Days,Overtime_Hours,Gender_enc,Promotions,Team_Size,Work_Hours_Per_Week,Age,Department_enc,Performance_Score,High_Performance,High_Salary,propensity_score
6000.0,1,3315,75,3,6,0,1,16,58,29,7,2,0,0,0.4785714123163322
4200.0,0,3125,25,5,11,1,0,18,38,24,7,2,0,0,0.47857331410327403
4200.0,0,2925,0,9,4,0,0,18,51,27,5,2,0,0,0.47894137428197636
6300.0,0,2200,75,14,5,0,1,13,33,22,7,4,1,0,0.4791252645136003
4950.0,0,1985,100,4,2,0,2,18,35,22,7,1,0,0,0.4791967840289202
5250.0,0,2709,50,14,1,1,1,14,33,23,7,5,1,0,0.47926183170736786
4950.0,0,3213,100,10,18,0,1,17,38,24,7,1,0,0,0.4795065551133685
5250.0,0,422,75,13,9,0,0,17,49,30,8,5,1,0,0.4796193292170292
4900.0,0,2992,100,10,15,1,1,19,32,31,8,4,1,0,0.4796255448418557
5600.0,0,2207,50,9,7,1,0,13,33,22,8,4,1,0,0.47984161720484625
6300.0,0,2275,100,8,1,1,0,16,59,29,7,4,1,0,0.4801976899088258
4400.0,1,2262,100,6,3,0,2,18,32,38,7,1,0,0,0.4804849943144693
4800.0,0,2406,0,4,6,0,0,18,35,30,6,2,0,0,0.48052513277559666
6050.0,0,3005,0,5,0,1,1,17,49,22,7,1,0,0,0.48065183708249065
4800.0,0,1491,0,14,1,1,0,18,33,37,7,2,0,0,0.480674617481035
4550.0,1,1498,100,7,11,0,0,19,49,39,6,3,0,0,0.48067757316513543
5600.0,0,2773,75,3,11,0,0,19,38,24,4,4,1,0,0.4807607312644211
5250.0,1,160,0,2,9,0,0,18,40,32,8,5,1,0,0.48091906893875025
5400.0,0,1105,0,5,5,0,0,15,33,27,8,2,0,0,0.48105493492457196
5500.0,0,1641,50,9,9,0,0,18,56,36,8,1,0,0,0.4811626552213722
6300.0,0,2674,75,1,13,0,0,19,37,41,8,4,1,0,0.48147721570863233
6300.0,0,2272,50,12,1,0,1,17,50,36,7,4,1,0,0.48174727875938184
3850.0,0,1475,75,6,6,0,0,16,36,23,5,1,0,0,0.48177975359184166
6000.0,1,2406,100,14,10,0,0,16,45,36,4,2,0,0,0.48184007535662315
5400.0,0,3403,100,4,4,1,0,13,41,23,6,2,0,0,0.4818467606161809
6000.0,0,2765,100,9,19,1,0,17,42,30,8,5,1,0,0.4818478056189599
5500.0,1,2986,100,10,10,1,0,10,48,29,8,1,0,0,0.48185003936245496
5500.0,0,3032,0,4,8,0,1,16,31,25,7,1,0,0,0.4819140880142828
4800.0,0,1669,50,7,9,0,0,19,41,24,4,2,0,0,0.4822665505108291
5400.0,1,3231,0,10,2,1,1,16,41,29,5,2,0,0,0.48249800678916965
5400.0,1,1624,50,4,14,0,0,13,35,30,8,2,0,0,0.4825628014405134
5250.0,0,3234,25,13,23,0,1,18,42,25,7,5,1,0,0.4826328546596835
5200.0,0,1330,100,2,1,1,0,19,31,30,5,3,0,0,0.48264559685086045
5850.0,0,824,100,2,9,1,0,19,57,27,8,3,0,0,0.48274845321266746
6000.0,0,2867,75,4,3,0,2,19,46,22,5,2,0,0,0.4827967783196559
5400.0,0,1886,100,13,3,1,0,10,35,23,7,2,0,0,0.4828494549741076
5850.0,1,2825,25,12,12,0,1,19,43,32,4,3,0,0,0.48295558498995955
6300.0,0,3360,25,14,12,0,0,16,45,22,3,4,1,0,0.4832247360757922
6050.0,0,3257,0,10,2,1,0,14,36,35,7,1,0,0,0.4832829447514105
3850.0,1,3073,50,3,7,1,0,14,60,25,6,1,0,0,0.4832952411832453
6000.0,0,2648,25,7,8,1,1,17,59,23,8,2,0,0,0.48330764202394805
6300.0,0,2514,100,13,9,1,1,14,50,25,8,4,1,0,0.4833205024425375
4400.0,0,2503,75,13,4,0,0,19,45,47,5,1,0,0,0.4833749248967238
5400.0,0,2045,0,11,8,1,1,17,35,28,8,2,0,0,0.4834072259662461
5850.0,0,908,25,7,6,0,1,18,33,33,8,3,0,0,0.48346438424273924
5850.0,0,1770,75,14,26,0,0,19,55,29,7,3,0,0,0.48369401841204235
5250.0,0,2254,50,6,9,1,0,18,33,31,6,5,1,0,0.48382665641663986
5600.0,0,3158,75,1,3,0,0,19,31,31,2,4,1,0,0.48383005240956667
4900.0,0,1459,100,11,20,0,1,17,38,22,7,4,1,0,0.4838886019825098
4200.0,1,2501,0,13,0,1,1,19,35,48,6,2,0,0,0.4839022270918671
5400.0,1,2691,0,14,29,0,2,18,44,23,8,2,0,0,0.48395684959053653
4200.0,0,2336,75,9,11,0,0,15,58,26,6,2,0,0,0.48396076788938525
4400.0,0,3230,25,10,6,0,1,17,41,30,5,1,0,0,0.48398027852588493
4550.0,0,3111,50,9,2,0,0,10,39,28,6,3,0,0,0.48399247532340284
4550.0,0,2381,75,5,0,0,0,18,60,28,3,3,0,0,0.4840812489535442
5500.0,1,1609,75,11,5,0,0,10,52,22,5,1,0,0,0.48409854994115914
4800.0,0,2544,75,14,5,0,0,19,34,37,2,2,0,0,0.484210302742392
5200.0,0,1850,100,7,9,1,0,13,44,26,8,3,0,0,0.4843676065662149
5200.0,1,3262,0,2,1,1,1,19,30,34,4,3,0,0,0.4843750037728195
4400.0,0,1733,50,11,4,0,0,9,53,24,8,1,0,0,0.4844502212590823
6300.0,0,3117,75,6,6,0,0,16,40,32,4,4,1,0,0.48452837972339674
4200.0,0,3366,75,9,9,0,1,19,47,26,3,2,0,0,0.48456903007142454
4200.0,0,2104,75,12,5,0,1,14,48,35,8,2,0,0,0.48461463215742945
6300.0,0,337,100,12,0,0,0,15,50,24,4,4,1,0,0.4846160832381318
5500.0,0,2929,100,14,16,0,2,19,43,34,7,1,0,0,0.48464519947473533
5600.0,0,3177,75,10,10,1,0,19,34,45,6,4,1,0,0.48471464917132134
5850.0,0,2543,50,10,10,0,1,18,53,30,6,3,0,0,0.48473234299450846
6000.0,0,2581,25,14,22,0,0,19,46,44,8,2,0,0,0.4848547356627702
4550.0,0,2078,100,12,16,1,1,19,31,28,6,3,0,0,0.4849236635509531
6000.0,1,3188,0,7,12,1,0,13,52,33,8,2,0,0,0.48492981049361816
5200.0,0,2425,100,10,7,1,0,19,39,30,3,3,0,0,0.48497024990060444
4800.0,0,2625,75,2,23,0,0,19,55,29,7,2,0,0,0.4850132881673406
4550.0,0,2323,50,13,2,0,0,14,30,29,3,3,0,0,0.4850760896812286
5500.0,0,3344,25,7,18,0,0,18,32,23,3,1,0,0,0.4851643000218913
6000.0,1,2374,25,12,8,0,0,16,33,56,7,2,0,0,0.4852543583977259
5600.0,0,2928,100,2,1,1,0,12,47,29,7,4,1,0,0.48525503173531526
4200.0,0,2915,100,12,8,1,0,19,40,34,3,2,0,0,0.4853322803573515
5500.0,0,3222,100,7,6,0,1,19,41,51,7,1,0,0,0.48533977382858234
6000.0,1,1011,25,14,4,0,2,18,43,44,8,5,1,0,0.4853456667202884
5400.0,0,2954,50,3,0,0,0,16,31,37,4,2,0,0,0.48536535477476034
5250.0,0,1644,75,14,4,1,0,17,40,30,4,5,1,0,0.4853736608859689
4800.0,1,3235,100,14,24,1,0,14,45,25,5,2,0,0,0.48539618379304683
5250.0,0,1252,75,0,8,1,0,19,34,24,5,5,1,0,0.4854864839791104
5400.0,0,2893,50,7,14,0,0,13,39,25,6,2,0,0,0.48559360073685254
4200.0,0,1258,100,1,5,1,0,18,42,25,5,2,0,0,0.48569323934143166
4550.0,0,1339,50,9,3,1,0,12,43,23,7,3,0,0,0.48580730511213854
5250.0,0,2857,50,3,13,0,0,17,34,46,8,5,1,0,0.4858701323484947
5250.0,0,1414,50,9,2,1,0,19,54,28,4,5,1,0,0.4858871057543113
4800.0,0,803,75,12,1,0,0,12,59,25,6,2,0,0,0.4858968502802646
4550.0,1,585,25,3,10,0,1,15,48,26,8,3,0,0,0.48598738298071853
5850.0,0,3084,25,12,2,0,0,10,35,39,7,3,0,0,0.48602873987549494
5250.0,0,1044,50,12,0,0,2,18,45,34,7,5,1,0,0.48604966853293613
6050.0,0,734,25,11,2,0,0,13,54,24,6,1,0,0,0.4860691769448967
6000.0,0,1070,100,13,21,0,1,14,31,23,8,5,1,0,0.4861591050589032
5850.0,0,1200,75,8,11,0,0,18,33,44,7,3,0,0,0.4862698483072628
4800.0,0,3006,75,10,5,0,1,19,30,37,3,2,0,0,0.4862834392427612
6000.0,0,702,75,10,3,0,1,13,55,26,8,2,0,0,0.4863021785542686
5250.0,0,2563,50,10,4,0,2,13,46,22,7,5,1,0,0.4863284019421855
4550.0,0,2668,100,3,15,1,1,17,32,31,8,3,0,0,0.4864078940850811
5400.0,0,737,75,3,8,0,0,15,57,25,7,2,0,0,0.48642456395296046
4950.0,0,2591,0,5,10,0,0,11,42,27,8,1,0,0,0.4864299115788741
3850.0,0,2031,50,8,11,0,0,17,46,36,6,1,0,0,0.48643519592280027
4550.0,0,2653,25,6,9,0,2,18,41,24,6,3,0,0,0.48653798002831133
6300.0,1,3339,50,14,15,1,1,19,47,39,5,4,1,0,0.48654948444933777
3850.0,0,3281,100,12,19,1,0,17,55,37,7,1,0,0,0.48656719365782913
6000.0,0,2728,25,3,16,0,0,18,50,31,6,5,1,0,0.48661481605389456
4200.0,0,1702,0,7,8,0,0,16,36,38,7,2,0,0,0.4866740763932777
4550.0,1,1426,100,6,25,0,1,19,58,29,7,3,0,0,0.48669306237240345
4800.0,0,796,50,9,1,0,0,12,49,25,6,2,0,0,0.48674044777665176
6000.0,0,2301,100,14,0,0,1,9,34,28,6,2,0,0,0.4867528216747316
6000.0,0,2644,50,9,3,1,0,8,52,23,8,2,0,0,0.48682600533188014
4800.0,0,1441,25,6,7,0,0,19,54,43,7,2,0,0,0.4868644377993786
6300.0,1,3145,50,6,1,1,2,19,50,36,5,4,1,0,0.4869998290059993
5200.0,1,2704,100,9,20,0,0,10,43,26,6,3,0,0,0.4870014691034262
4400.0,0,2695,0,5,12,1,0,13,43,25,8,1,0,0,0.4870591527921473
4550.0,0,1919,0,10,7,0,0,17,43,40,6,3,0,0,0.4870819031597594
6000.0,0,2679,50,6,11,1,0,18,52,38,7,2,0,0,0.48709445407553653
6000.0,0,1622,100,11,20,0,0,17,41,43,8,5,1,0,0.4870976035970723
5200.0,1,3166,100,13,5,0,0,8,31,45,6,3,0,0,0.4871370317867247
4550.0,0,3035,75,7,17,1,0,18,39,40,7,3,0,0,0.4871606035435323
5400.0,0,1442,75,7,8,0,2,14,36,23,8,2,0,0,0.48722466339913073
5250.0,0,2327,50,2,5,1,1,18,58,28,7,5,1,0,0.4872309387310578
6300.0,0,2461,50,3,0,1,1,15,54,22,6,4,1,0,0.48727184900668935
6000.0,0,1053,75,3,5,1,0,19,36,22,3,2,0,0,0.48728966498514137
4550.0,0,686,75,12,7,1,1,16,37,22,6,3,0,0,0.48729500234985745
4200.0,1,2611,100,6,15,0,0,16,56,53,8,2,0,0,0.4873169085253682
4900.0,0,289,100,11,9,0,1,19,42,24,4,4,1,0,0.4873176795417762
4550.0,0,3169,100,5,16,1,1,16,46,30,8,3,0,0,0.4874349330914192
4950.0,1,2220,100,0,17,0,2,16,30,27,7,1,0,0,0.4874433455103289
5200.0,0,1180,100,11,0,0,0,18,57,46,5,3,0,0,0.487542452928398
3850.0,0,2086,100,7,2,0,1,18,55,22,2,1,0,0,0.4875434122300459
4200.0,0,484,50,8,4,0,0,12,45,22,6,2,0,0,0.48754820228746315
5500.0,0,3336,100,5,0,1,0,15,46,54,8,1,0,0,0.48758716490451703
5500.0,0,878,0,5,6,0,1,18,37,32,7,1,0,0,0.4876184858240023
5850.0,0,2955,100,4,12,0,1,19,32,38,5,3,0,0,0.4876434744992646
4550.0,1,70,25,13,3,0,0,17,42,35,3,3,0,0,0.4876747144908139
4200.0,0,2786,50,4,13,0,2,16,40,27,8,2,0,0,0.48767922196867575
5250.0,0,474,0,12,8,1,0,14,36,24,7,5,1,0,0.4876826567784462
3850.0,1,2059,25,6,8,1,1,11,52,22,8,1,0,0,0.4877301966147075
5600.0,1,2947,50,1,0,1,1,16,51,38,6,4,1,0,0.48775764754273665
6000.0,0,1655,50,14,1,1,0,19,34,44,4,5,1,0,0.48776842397630493
4550.0,0,1573,0,1,2,0,0,9,30,26,8,3,0,0,0.48784092616410435
4550.0,0,2189,100,4,5,0,1,14,33,26,5,3,0,0,0.48784644434039076
4900.0,1,543,100,7,16,1,1,17,31,35,8,4,1,0,0.4878538916765762
5850.0,0,1975,75,3,2,2,0,15,49,33,8,3,0,0,0.48786475313217736
4200.0,1,1071,0,14,21,1,1,17,55,26,8,2,0,0,0.48787362727974426
5400.0,0,2462,25,6,4,0,1,15,41,41,8,2,0,0,0.4878985566493966
5200.0,0,3333,100,12,7,0,1,18,43,47,5,3,0,0,0.48790847630746037
6050.0,0,259,75,13,3,1,0,17,37,48,8,1,0,0,0.48791225693723417
6000.0,0,2487,100,3,0,0,0,14,47,23,2,2,0,0,0.48793249413981105
5600.0,0,3043,50,11,11,0,1,19,54,47,7,4,1,0,0.48795389751907386
4200.0,0,2576,25,14,21,0,0,17,30,30,4,2,0,0,0.4879551837290651
4950.0,0,2052,25,6,17,0,0,15,44,34,8,1,0,0,0.4879626524223318
6300.0,0,1891,75,11,7,0,1,11,40,26,7,4,1,0,0.4879710896181128
6050.0,0,2777,50,9,7,1,0,18,57,36,5,1,0,0,0.48797415837820185
5200.0,0,2444,0,6,10,0,0,16,56,27,5,3,0,0,0.4880523209808314
5250.0,0,1457,75,8,14,0,0,14,41,32,7,5,1,0,0.48808340213540763
5400.0,0,1700,50,8,7,0,0,19,31,37,3,2,0,0,0.4881373428960022
5250.0,0,2351,75,13,4,0,0,11,60,33,6,5,1,0,0.4881753370298523
6300.0,0,2663,100,12,2,1,0,7,41,33,8,4,1,0,0.48823910678591453
5500.0,0,2272,100,3,18,0,1,19,34,23,4,1,0,0,0.4882919058633007
4900.0,0,1309,75,10,3,0,0,10,59,28,7,4,1,0,0.4883440005468567
4550.0,0,1869,100,4,9,1,1,18,31,31,6,3,0,0,0.48835029422547815
6000.0,0,3165,25,5,15,0,0,18,42,52,8,2,0,0,0.48845049692421366
5600.0,0,1269,50,11,2,0,1,13,47,36,8,4,1,0,0.4884567609435898
6000.0,0,2523,75,4,2,1,0,16,60,41,7,5,1,0,0.48847029812011195
3850.0,0,2212,100,1,3,0,0,16,58,26,3,1,0,0,0.4886082156746196
6000.0,0,1043,25,11,6,0,1,19,56,40,7,5,1,0,0.4886222375601531
5500.0,1,1604,50,14,8,1,1,15,50,38,7,1,0,0,0.4887728238205569
4400.0,0,790,50,11,9,0,0,14,44,35,7,1,0,0,0.4887875610971217
4950.0,1,2769,75,6,16,1,2,16,60,27,8,1,0,0,0.48881464637165456
4800.0,1,3152,50,14,8,2,1,15,41,22,3,2,0,0,0.4888175987098199
5600.0,0,722,75,9,6,0,0,16,30,23,2,4,1,0,0.48889907678615285
4900.0,0,1492,100,6,5,0,1,19,44,48,7,4,1,0,0.4889280368848072
4800.0,0,1380,50,8,26,0,0,19,54,31,7,2,0,0,0.48898381543106095
5400.0,0,711,0,11,12,0,0,18,32,29,4,2,0,0,0.48900470824316694
3850.0,0,410,75,4,0,0,2,19,50,28,6,1,0,0,0.48905252620216777
3850.0,0,1935,75,14,14,0,2,19,35,45,8,1,0,0,0.4891040136404522
4900.0,0,2774,75,7,23,0,1,14,45,26,8,4,1,0,0.4891242500771028
5200.0,0,3224,0,6,5,1,0,14,56,40,8,3,0,0,0.4891720892705461
3850.0,0,1881,100,2,7,0,1,10,33,26,8,1,0,0,0.4892235142113435
6050.0,0,3110,50,14,27,0,2,18,42,32,8,1,0,0,0.4892240544844074
5200.0,0,1526,100,11,9,1,2,16,56,25,8,3,0,0,0.4892418534251847
6000.0,0,2789,100,8,15,1,1,17,33,37,7,2,0,0,0.489334809423913
4900.0,1,1155,0,14,12,0,1,19,53,48,7,4,1,0,0.4893642048989066
5400.0,1,3375,0,9,4,0,2,10,38,32,7,2,0,0,0.48939456544010534
5200.0,1,3225,0,0,29,1,1,18,35,29,8,3,0,0,0.48940553444572943
6300.0,0,3146,75,2,10,0,2,13,31,29,8,4,1,0,0.4894197720547546
5600.0,0,1308,50,14,5,0,2,17,42,37,7,4,1,0,0.4894700062387531
4950.0,0,3129,0,11,18,0,0,17,42,22,2,1,0,0,0.48947058131374566
4950.0,0,1558,100,11,2,0,0,19,32,45,2,1,0,0,0.48949321608999224
6300.0,0,322,50,0,1,1,0,19,47,39,7,4,1,0,0.4895329758840998
4200.0,0,2504,50,0,24,0,0,18,41,29,6,2,0,0,0.4895482999941581
4900.0,0,2100,50,13,5,0,2,17,37,47,8,4,1,0,0.4895579853068297
5400.0,0,1165,50,7,4,0,1,12,36,32,8,2,0,0,0.48956024723080294
6000.0,1,2290,25,5,21,0,0,18,49,32,4,5,1,0,0.48959208230786094
4900.0,0,3343,50,12,4,0,0,18,49,58,5,4,1,0,0.4896033300812141
4550.0,0,126,0,9,2,1,1,19,34,26,5,3,0,0,0.48964664738245883
6300.0,0,3376,0,7,4,1,2,14,53,26,8,4,1,0,0.48969242180818623
6000.0,0,1236,0,14,7,0,0,18,30,27,1,5,1,0,0.4897013536959144
5850.0,0,2819,0,7,0,0,1,17,50,39,5,3,0,0,0.48972564532634233
3850.0,0,3365,50,11,19,0,0,7,30,24,7,1,0,0,0.4897729589038945
6000.0,0,2311,50,11,11,1,0,18,45,43,6,5,1,0,0.4898515427753969
5500.0,1,2112,75,13,0,0,1,9,31,32,4,1,0,0,0.48986615628695696
4900.0,0,1126,100,11,20,0,0,12,56,27,8,4,1,0,0.48989093719155213
4950.0,0,2763,50,6,5,0,2,16,32,24,4,1,0,0,0.4899352846876315
5200.0,0,2553,0,0,0,1,0,15,32,47,8,3,0,0,0.48996141860448406
6300.0,0,631,0,2,3,0,0,18,50,37,6,4,1,0,0.4900350437352832
6050.0,0,2211,50,13,20,1,2,17,47,23,8,1,0,0,0.4900369868548316
6050.0,0,1975,50,13,5,1,1,18,46,35,5,1,0,0,0.49007386125358937
4400.0,0,2285,100,0,3,0,0,6,40,23,7,1,0,0,0.4901104940695292
6050.0,1,1772,50,8,5,0,1,7,35,27,7,1,0,0,0.4901126770901902
4800.0,1,837,50,1,1,1,1,13,47,22,6,2,0,0,0.4901244969925742
5200.0,1,1120,25,9,20,0,1,17,48,24,5,3,0,0,0.49016522656100464
5400.0,0,2404,100,10,6,0,0,8,57,36,8,2,0,0,0.4901674010487399
3850.0,0,1974,25,11,2,0,1,7,35,27,8,1,0,0,0.49017357653599286
6300.0,0,1761,100,8,6,0,0,19,45,57,6,4,1,0,0.4901782117138643
6000.0,0,3169,50,5,18,0,1,16,32,27,5,5,1,0,0.49027730924602997
4900.0,0,2953,0,1,12,0,0,17,56,31,5,4,1,0,0.49027959483907924
6300.0,0,30,75,12,22,1,0,19,35,28,6,4,1,0,0.49031345785426317
4900.0,0,3364,25,8,2,0,1,16,60,48,7,4,1,0,0.49031792470872937
4200.0,0,3345,100,8,4,0,1,11,42,31,5,2,0,0,0.49039993998026143
6300.0,0,2818,75,9,9,0,1,14,57,37,7,4,1,0,0.4904233382409817
5200.0,0,2244,75,7,8,0,0,16,33,40,4,3,0,0,0.4904470457213957
4800.0,0,2562,75,14,4,0,1,8,47,25,6,2,0,0,0.4905025329120098
3850.0,0,790,50,0,2,0,2,17,31,25,6,1,0,0,0.49056379849001075
4950.0,0,996,100,6,10,0,1,16,47,24,5,1,0,0,0.49064597990022724
5400.0,0,3206,25,10,4,0,1,15,52,27,3,2,0,0,0.49065548238279233
5500.0,0,819,100,14,5,1,1,18,53,37,6,1,0,0,0.49065687156586235
6050.0,0,2811,100,9,12,0,0,18,53,29,1,1,0,0,0.4906638026286081
6000.0,1,3248,25,4,2,0,0,15,46,55,5,5,1,0,0.490693149245444
6000.0,0,2341,100,14,1,0,1,13,30,29,2,5,1,0,0.490797895489636
6050.0,0,2545,25,13,4,1,0,16,52,31,3,1,0,0,0.4908143137049158
4800.0,0,2804,75,13,22,1,1,17,60,24,6,2,0,0,0.490978490900488
5200.0,0,2407,50,3,25,0,1,16,59,23,8,3,0,0,0.49108467681893714
5500.0,0,3263,75,13,20,1,1,18,38,23,3,1,0,0,0.49110692831566927
6050.0,0,2294,25,4,11,0,0,13,35,28,5,1,0,0,0.491153992100529
6300.0,0,989,75,7,15,0,0,11,55,26,8,4,1,0,0.49115529055191803
6000.0,0,2174,25,2,22,1,0,16,52,26,8,2,0,0,0.49119103842323375
4550.0,0,650,75,14,8,1,2,17,53,25,7,3,0,0,0.49120651674457383
3850.0,1,1846,50,8,15,1,1,16,38,43,8,1,0,0,0.49121625914959444
6300.0,0,518,75,1,3,0,0,14,31,36,6,4,1,0,0.49121861898794067
3850.0,0,1842,75,2,7,0,1,13,50,23,6,1,0,0,0.4912594152127301
4400.0,0,329,75,8,8,1,1,15,39,25,7,1,0,0,0.491263975160722
3850.0,0,2696,100,2,0,0,0,18,56,35,1,1,0,0,0.49130739281854485
5850.0,0,2211,100,3,20,0,0,16,46,24,4,3,0,0,0.4913159548850314
6000.0,0,2207,75,12,16,0,1,13,34,34,7,2,0,0,0.49134256220664385
5850.0,0,2762,25,1,1,2,1,17,46,38,8,3,0,0,0.4913453107455102
5850.0,0,510,100,5,10,1,0,13,56,22,7,3,0,0,0.49135058827082817
5250.0,0,2751,0,6,14,0,0,17,40,24,2,5,1,0,0.4913722918638929
4800.0,0,1785,50,5,19,1,1,19,46,28,7,2,0,0,0.49138678773159994
4950.0,1,836,0,13,0,1,2,14,42,23,5,1,0,0,0.4913921441404255
6000.0,0,2496,25,3,12,1,0,16,58,28,6,2,0,0,0.4914007206532005
5200.0,0,3364,100,5,6,1,1,13,37,43,8,3,0,0,0.49142895767780626
4800.0,0,2561,75,7,6,0,1,7,34,24,7,2,0,0,0.4914323399694546
5200.0,0,1717,100,6,8,1,2,18,31,30,6,3,0,0,0.49143371893916415
6000.0,0,1029,25,7,5,1,2,17,46,23,7,5,1,0,0.49145519166845203
3850.0,0,2867,50,4,5,0,0,12,53,32,5,1,0,0,0.4914801981054324
5600.0,0,1189,0,2,8,0,1,14,33,31,8,4,1,0,0.49148563843084003
4950.0,1,2690,50,7,11,0,1,8,39,30,7,1,0,0,0.4915213004012407
5500.0,1,2606,75,7,2,1,0,16,44,60,6,1,0,0,0.49152754229292883
4900.0,0,1817,25,8,1,1,1,16,42,40,7,4,1,0,0.49154275344408027
5200.0,0,54,25,8,17,0,1,18,58,23,7,3,0,0,0.49155600864100196
5600.0,0,3117,100,13,8,0,2,19,47,36,3,4,1,0,0.4915593899956217
4800.0,0,744,0,2,3,0,1,15,55,31,8,2,0,0,0.491578594333359
5850.0,0,2242,0,8,0,0,2,12,42,33,8,3,0,0,0.4915939763745205
4400.0,0,1948,50,5,8,0,1,16,51,38,7,1,0,0,0.4916475741226039
5200.0,0,549,50,0,7,1,0,19,31,28,4,3,0,0,0.49164847980919923
6300.0,0,2085,50,2,13,1,0,19,47,33,5,4,1,0,0.4916617905930816
6300.0,0,1681,0,9,5,1,0,16,49,47,8,4,1,0,0.4916859862578058
4200.0,0,2348,100,12,8,0,2,19,47,36,4,2,0,0,0.4917147470718086
5500.0,0,656,75,0,5,0,0,19,34,54,7,1,0,0,0.4917162670386398
6300.0,0,2674,0,9,7,1,1,16,54,40,8,4,1,0,0.4917272921117103
4900.0,0,3291,100,13,8,2,1,16,32,51,8,4,1,0,0.49172874108536546
5600.0,0,3256,75,14,11,0,1,3,36,22,8,4,1,0,0.49173685381691445
6000.0,1,3084,0,6,4,0,0,14,30,31,0,5,1,0,0.4917645596072188
4400.0,0,3325,0,9,4,0,1,9,48,35,8,1,0,0,0.4917751782853873
5600.0,1,3300,75,3,12,1,0,19,32,53,4,4,1,0,0.491783973128037
6300.0,0,894,75,14,11,0,0,18,60,47,6,4,1,0,0.4918050846748597
6000.0,0,1946,25,13,3,1,1,12,38,23,5,5,1,0,0.49186360840416904
4550.0,0,1593,25,13,6,0,1,19,58,56,8,3,0,0,0.4918795023965342
4950.0,0,1690,100,11,19,1,1,19,39,44,8,1,0,0,0.4919086035558658
4400.0,0,1143,100,2,12,0,0,13,44,23,5,1,0,0,0.49193395312868604
5850.0,0,2307,25,8,3,1,1,18,38,34,4,3,0,0,0.49200220819164076
5850.0,0,1763,50,5,24,1,0,17,47,32,8,3,0,0,0.4920135983132096
4900.0,0,2687,100,13,25,0,1,17,40,37,6,4,1,0,0.49203625082038793
3850.0,1,888,75,4,18,0,1,12,34,31,8,1,0,0,0.4920502103539228
6000.0,0,945,75,8,13,1,0,19,59,46,8,2,0,0,0.49208417824301764
5400.0,0,586,100,6,10,0,0,17,33,26,2,2,0,0,0.492106398275456
6000.0,0,1168,50,8,19,0,0,15,56,26,6,5,1,0,0.4921070108694878
3850.0,0,307,100,1,5,0,1,19,54,31,5,1,0,0,0.49211289132500813
6000.0,0,1070,100,1,3,0,0,19,46,39,3,5,1,0,0.4921230079006271
6000.0,0,1250,75,10,2,0,0,16,41,25,0,2,0,0,0.4921619704001177
4900.0,0,1902,25,12,13,0,0,6,45,24,8,4,1,0,0.49217300788571566
4200.0,0,697,75,7,11,0,1,15,45,31,7,2,0,0,0.49217994648464625
