Monthly_Salary,Overtime_Hours,Risigned_enc,Work_Hours_Per_Week,Hire_Date_enc,Remote_Work_Frequency,Team_Size,Age,Performance_Score,High_Performance,High_Salary,propensity_score
7200.0,13,1,31,2665,0,9,49,2,0,1,0.4973918951277762
6600.0,27,0,48,3378,0,6,59,1,0,1,0.4975674188392105
6600.0,26,1,47,226,25,10,58,1,0,1,0.4975882378283024
6600.0,29,0,35,1092,0,3,53,1,0,1,0.4975934789574671
8400.0,21,1,41,335,25,3,55,4,1,1,0.49761114298964365
7200.0,27,1,34,1182,0,3,40,2,0,1,0.49762464646355375
6600.0,27,1,35,3381,25,9,50,1,0,1,0.4977966777302896
6600.0,26,1,38,1257,0,8,44,1,0,1,0.4978337803912283
7200.0,24,0,32,133,0,12,59,2,0,1,0.4978939670524598
7200.0,20,0,31,474,0,11,60,2,0,1,0.49795525701306087
8250.0,29,0,34,1905,0,11,55,5,1,1,0.4980739983758678
6600.0,16,0,30,2710,0,11,60,1,0,1,0.49814339800233387
6500.0,27,0,51,1576,0,6,60,3,0,1,0.4982079818818181
9000.0,21,0,31,1836,0,5,55,5,1,1,0.49828372167343604
6750.0,3,1,46,2869,0,7,57,5,1,1,0.4983998021272711
7200.0,26,0,34,3356,0,11,55,2,0,1,0.4984270409171792
6600.0,29,1,39,3141,25,5,47,1,0,1,0.49859841772692803
6750.0,6,1,32,163,0,2,49,5,1,1,0.49861335018950853
7200.0,20,0,43,2523,0,1,57,2,0,1,0.49861574038571704
7700.0,24,0,47,678,0,8,60,4,1,1,0.4990515967342572
6500.0,13,0,31,2963,0,9,59,3,0,1,0.4990828551273206
7500.0,28,0,41,2555,0,14,57,5,1,1,0.4991674180569943
7200.0,17,1,59,849,0,1,51,2,0,1,0.49917666667317095
7000.0,23,0,31,2761,25,3,59,4,1,1,0.4991877382184383
7800.0,28,0,42,1412,25,1,60,3,0,1,0.49932491305565757
7200.0,29,0,33,2125,25,2,56,2,0,1,0.49937246460235674
6600.0,23,1,33,1333,25,12,51,1,0,1,0.49939847175758
7200.0,25,0,31,603,0,9,53,2,0,1,0.49953797448875426
7200.0,29,0,32,1490,25,11,60,2,0,1,0.49956669579533625
7500.0,7,1,40,2885,25,10,60,5,1,1,0.49962933491399125
7200.0,9,0,34,902,0,2,59,2,0,1,0.49971541421430477
7000.0,24,0,40,2164,0,6,54,4,1,1,0.49976721173349503
7200.0,26,1,51,3190,25,18,57,2,0,1,0.49979378445098704
7000.0,24,0,39,815,0,1,52,4,1,1,0.49980656520418376
6500.0,21,0,33,3317,0,16,57,3,0,1,0.49982665539904875
7500.0,25,0,38,1379,0,8,54,5,1,1,0.49985425108766085
6500.0,16,0,32,693,0,12,59,3,0,1,0.4998980416831215
7700.0,21,0,44,2677,0,7,57,4,1,1,0.49991797865121884
7700.0,20,0,34,3213,25,3,60,4,1,1,0.4999235152065414
8400.0,27,1,32,345,50,3,52,4,1,1,0.49999288465557845
9000.0,25,0,42,2543,25,2,60,5,1,1,0.5000205203971598
7800.0,19,0,36,854,0,11,58,3,0,1,0.5000264097706615
7150.0,26,0,53,867,0,10,60,3,0,1,0.5000395112499588
8250.0,26,0,38,1963,0,19,58,5,1,1,0.5000495174223214
7200.0,25,1,46,2583,0,16,46,2,0,1,0.5000950018155385
7200.0,24,0,35,3275,0,17,56,2,0,1,0.5001281702507966
6500.0,20,0,53,508,0,1,59,3,0,1,0.5001299652742868
9000.0,22,0,43,1896,0,3,54,5,1,1,0.5002372974505396
7200.0,6,1,34,389,25,13,60,2,0,1,0.50030825368399
7800.0,8,0,36,2468,0,6,60,3,0,1,0.5003209177616821
6600.0,25,0,60,416,0,2,59,2,0,1,0.5003351646816939
6750.0,22,0,30,1428,25,2,57,5,1,1,0.5004541759662454
7700.0,2,1,50,1212,0,1,53,4,1,1,0.5004914226173817
7800.0,26,0,47,1077,0,13,58,3,0,1,0.5005676032316597
8400.0,27,1,52,751,50,1,57,4,1,1,0.5006217920938942
9000.0,24,0,45,2952,0,3,52,5,1,1,0.5007149523432731
6500.0,21,0,53,3013,0,8,59,3,0,1,0.5007312808529916
7800.0,24,0,38,3305,0,9,52,3,0,1,0.5007396668649226
6500.0,10,0,31,3219,0,15,60,3,0,1,0.5007629380538976
7200.0,27,0,53,2855,0,1,52,2,0,1,0.500934133470693
7800.0,10,0,31,398,0,12,60,3,0,1,0.5009493360513578
9000.0,6,1,39,655,25,6,57,5,1,1,0.5009599030242097
7800.0,12,0,34,1242,0,9,58,3,0,1,0.5009614656071617
7150.0,28,0,49,1777,0,6,53,3,0,1,0.5009674975615436
9000.0,28,1,60,3387,50,3,58,5,1,1,0.5009730860853396
6600.0,21,0,37,2854,0,7,52,2,0,1,0.5010380016161305
8400.0,22,1,57,1644,0,11,48,4,1,1,0.501069471721906
6750.0,1,1,55,2541,0,15,60,5,1,1,0.5011554151561725
6500.0,24,1,42,1131,25,5,47,3,0,1,0.501166244711756
8400.0,17,0,47,765,0,7,59,4,1,1,0.5011902940442142
7700.0,28,0,31,2016,0,15,50,4,1,1,0.5011907344810813
7800.0,11,0,30,2271,0,1,52,3,0,1,0.5012154402533906
7500.0,13,1,54,3308,0,6,48,5,1,1,0.501235526296183
7200.0,29,0,45,2093,0,14,54,2,0,1,0.501272672165951
7200.0,14,1,37,709,0,17,48,2,0,1,0.501275914819957
7800.0,24,0,40,2533,0,13,54,3,0,1,0.5013273833867601
6600.0,20,1,45,2620,0,6,41,1,0,1,0.5013417918687972
8400.0,22,0,52,948,0,10,59,4,1,1,0.5014151526799334
9000.0,29,0,34,2335,25,8,55,5,1,1,0.5014252381829605
6600.0,29,0,60,2506,0,12,58,1,0,1,0.5014657253574946
6750.0,1,1,30,469,0,4,46,5,1,1,0.5014745775995584
6750.0,17,1,59,1074,25,10,59,5,1,1,0.5015072071470498
6600.0,21,0,37,2557,0,15,55,1,0,1,0.5015652454183035
7200.0,25,0,52,437,0,1,53,2,0,1,0.5015751696222226
6600.0,3,0,30,3184,0,3,56,1,0,1,0.5016036744341519
8400.0,26,0,38,2890,0,2,46,4,1,1,0.501621459763449
7700.0,23,0,54,2844,0,13,59,4,1,1,0.5016244363145818
7700.0,16,0,39,1444,0,13,58,4,1,1,0.5016930161998359
6600.0,4,1,52,2281,0,2,50,1,0,1,0.5017002356515089
6750.0,20,0,31,3318,0,16,53,5,1,1,0.5017097802178923
8400.0,14,0,38,403,0,2,54,4,1,1,0.5017316532634616
8250.0,11,0,42,589,0,2,57,5,1,1,0.5017476111842283
8250.0,12,0,48,1535,0,4,59,5,1,1,0.5017743819640503
6600.0,20,1,54,1061,0,5,44,1,0,1,0.5017884286496425
7800.0,24,0,49,1662,0,11,56,3,0,1,0.5018088236020403
7200.0,20,0,42,1946,0,4,52,2,0,1,0.5018122513847381
6600.0,7,0,38,1473,0,2,57,1,0,1,0.501812401103679
8250.0,28,0,55,2486,0,4,52,5,1,1,0.5018707041379875
6600.0,20,0,42,936,0,5,53,1,0,1,0.5018808410241155
8400.0,20,0,45,893,0,13,58,4,1,1,0.5018929504390838
8400.0,28,0,45,3408,0,5,48,4,1,1,0.5019383056762202
8250.0,11,1,35,1793,50,7,59,5,1,1,0.5019437361711412
8250.0,22,1,48,2334,50,4,56,5,1,1,0.5019500676806365
7700.0,27,1,60,1854,25,7,51,4,1,1,0.501957502374277
7500.0,27,0,59,2233,0,4,54,5,1,1,0.5019771776430914
6600.0,21,1,49,1319,0,5,41,1,0,1,0.5019900478414866
7800.0,26,0,41,1078,25,2,56,3,0,1,0.5020142255629269
7150.0,3,0,34,3335,0,6,58,3,0,1,0.5020268574641266
8400.0,7,0,44,1856,0,5,60,4,1,1,0.5020372154345446
7500.0,28,0,52,1448,0,10,54,5,1,1,0.5020943147729167
6600.0,17,0,52,1535,0,8,59,2,0,1,0.5021119800988751
7200.0,5,0,38,2832,0,7,59,2,0,1,0.502129980503401
9000.0,22,1,30,2179,25,3,40,5,1,1,0.5021348624467511
7150.0,25,0,42,2916,25,1,55,3,0,1,0.502138576531751
6600.0,16,0,37,120,0,15,58,1,0,1,0.5022261084463931
7200.0,9,0,31,530,0,4,54,2,0,1,0.5022346334302898
8400.0,18,1,44,836,25,9,51,4,1,1,0.5022476540177989
7800.0,20,0,41,1508,25,5,60,3,0,1,0.5022513829440155
6600.0,7,0,42,3143,0,3,57,1,0,1,0.5022592725223862
7200.0,0,1,41,2595,0,15,53,2,0,1,0.502278179421762
8400.0,12,0,40,2113,0,9,57,4,1,1,0.5022922639389427
8400.0,25,0,30,1429,25,9,55,4,1,1,0.5023045951404489
7500.0,22,1,36,2674,25,6,43,5,1,1,0.5023237130954215
7700.0,18,1,42,1604,50,11,59,4,1,1,0.5023535250366465
7500.0,1,1,41,1566,0,11,51,5,1,1,0.502367426590965
7800.0,21,0,34,554,0,18,55,3,0,1,0.5023703422112696
7800.0,23,0,46,2027,25,6,60,3,0,1,0.5024347077488109
8250.0,29,1,43,1050,0,10,36,5,1,1,0.502454241060556
7800.0,16,0,33,1987,0,3,49,3,0,1,0.5024653630817721
6600.0,20,0,44,1496,0,15,57,1,0,1,0.5024886353577059
7150.0,26,0,54,2127,0,15,57,3,0,1,0.5025063631059533
7200.0,2,1,48,491,25,5,59,2,0,1,0.5025460694918671
9000.0,10,0,40,2912,0,13,59,5,1,1,0.5025498498476312
8250.0,27,0,34,2817,25,9,54,5,1,1,0.5025517636466938
9000.0,15,0,36,1905,0,6,52,5,1,1,0.5025549971131893
9000.0,17,1,58,2382,25,17,59,5,1,1,0.5025800231706741
8250.0,27,0,38,2012,25,5,54,5,1,1,0.5025943217364687
8400.0,17,0,30,511,0,3,48,4,1,1,0.5026043646133453
7200.0,13,0,40,1154,0,4,54,2,0,1,0.5026147491969043
7800.0,27,0,54,2720,0,5,51,3,0,1,0.5026180506926133
8400.0,23,0,32,3051,0,14,49,4,1,1,0.5026648600471325
7700.0,22,0,33,3131,25,5,54,4,1,1,0.5026708126340041
7700.0,28,0,34,959,50,3,60,4,1,1,0.5026720995325927
6600.0,6,0,49,2057,0,3,60,1,0,1,0.5026951650099758
7800.0,24,0,49,2716,0,10,53,3,0,1,0.5027171450976775
7700.0,24,0,40,1221,25,12,60,4,1,1,0.5027444086329715
7150.0,24,0,46,619,0,12,54,3,0,1,0.5028170965502361
6600.0,29,0,38,1974,0,3,43,2,0,1,0.5028229975053707
7200.0,14,1,43,171,25,15,55,2,0,1,0.5028240291577963
7800.0,10,0,49,359,0,4,59,3,0,1,0.5028837745444065
7800.0,7,1,44,2611,0,15,49,3,0,1,0.5029017092912822
6500.0,25,1,48,3330,0,19,42,3,0,1,0.5029283050615339
7800.0,18,0,31,1263,25,11,59,3,0,1,0.502952121025857
6600.0,24,0,59,3039,0,12,57,1,0,1,0.5029691903384818
6750.0,16,0,47,1149,0,16,60,5,1,1,0.5030026941204913
9000.0,21,0,42,1186,25,6,59,5,1,1,0.5030029338974975
6600.0,23,0,51,1427,0,13,56,2,0,1,0.5030085131699129
7800.0,26,0,42,800,25,5,56,3,0,1,0.5030087192088787
8250.0,15,0,40,1264,0,4,52,5,1,1,0.5030244985866975
8250.0,12,0,49,1131,0,10,60,5,1,1,0.5030332263570726
7800.0,24,0,52,3303,0,12,54,3,0,1,0.503070216011135
7800.0,25,0,60,61,0,13,59,3,0,1,0.5030870118854075
7800.0,26,0,57,1159,0,18,59,3,0,1,0.503103017387729
7800.0,28,1,50,2415,50,8,53,3,0,1,0.5031035788783041
7800.0,17,0,49,428,0,11,58,3,0,1,0.503124884996046
9000.0,21,0,42,571,0,13,54,5,1,1,0.5031479619898229
7150.0,29,1,41,19,75,2,56,3,0,1,0.5032108117332905
6750.0,17,0,53,3108,0,16,60,5,1,1,0.5032156240958281
7200.0,13,1,31,1535,50,3,52,2,0,1,0.503246733286068
8250.0,16,0,49,1739,0,8,56,5,1,1,0.5032485383350784
6500.0,13,0,30,1113,25,3,57,3,0,1,0.5032519769203196
6500.0,10,1,45,2008,0,6,43,3,0,1,0.5032770815849804
6500.0,26,0,46,620,0,10,51,3,0,1,0.503277754086541
7150.0,4,0,34,158,0,4,56,3,0,1,0.5032854117486755
9000.0,20,0,30,3071,0,19,51,5,1,1,0.5033137086296855
6600.0,10,0,39,3066,0,11,56,1,0,1,0.5033215182196014
9000.0,0,0,31,146,0,4,57,5,1,1,0.5033282040494086
7700.0,27,0,56,983,25,1,58,4,1,1,0.5033282411462916
7500.0,9,0,34,2622,0,7,53,5,1,1,0.503335293319138
6750.0,22,0,55,662,0,1,52,5,1,1,0.5033748504582737
8250.0,18,0,52,2715,0,16,59,5,1,1,0.5033785242595974
7500.0,26,0,47,82,0,9,51,5,1,1,0.5033965192085206
9000.0,26,0,42,789,0,18,53,5,1,1,0.5034075844567805
7200.0,27,0,54,3257,25,8,59,2,0,1,0.5034095319915012
7000.0,25,0,54,2036,0,1,49,4,1,1,0.5034154546727985
6600.0,23,1,50,217,50,11,58,1,0,1,0.5034160619230256
9000.0,25,0,35,2982,0,17,49,5,1,1,0.5034179192797501
7000.0,21,0,34,1168,0,17,52,4,1,1,0.5034199312275004
7200.0,13,0,42,1378,25,1,60,2,0,1,0.5034305950862917
8250.0,29,0,37,2511,25,4,50,5,1,1,0.5034445684893525
7200.0,28,0,31,2574,25,18,55,2,0,1,0.5034620375405506
7800.0,19,0,33,604,0,15,52,3,0,1,0.5034815604326679
6600.0,19,0,52,722,0,17,60,2,0,1,0.5034897634998605
6500.0,28,0,54,582,25,8,60,3,0,1,0.5034999540368833
7200.0,16,0,39,3410,0,17,55,2,0,1,0.503507505279988
7800.0,15,0,30,2373,0,7,48,3,0,1,0.5035116518495873
9000.0,15,0,47,2831,0,9,55,5,1,1,0.5035345556324461
8400.0,4,1,33,3151,25,8,50,4,1,1,0.5035377170701122
7800.0,29,0,43,901,25,10,56,3,0,1,0.5035421718488553
6500.0,19,0,37,539,0,10,51,3,0,1,0.5035422232291865
7150.0,8,0,47,1801,0,6,58,3,0,1,0.5035701877403834
7800.0,18,0,42,1172,0,4,50,3,0,1,0.5035977642484655
7200.0,29,0,34,2218,25,19,56,2,0,1,0.5036051143404799
7800.0,25,1,43,2911,50,19,56,3,0,1,0.5036137712448068
7800.0,19,0,34,3133,0,10,48,3,0,1,0.5036383914257817
7150.0,22,1,40,1736,0,2,32,3,0,1,0.5036510044311175
8250.0,21,0,48,2322,0,19,57,5,1,1,0.5036529168050781
9000.0,11,0,40,3140,0,13,56,5,1,1,0.5036901951271016
6500.0,11,0,34,586,0,6,52,3,0,1,0.5036987811598538
8400.0,6,0,35,690,0,6,55,4,1,1,0.5037295626141026
7200.0,11,0,55,2659,0,3,57,2,0,1,0.5037384304335463
7800.0,3,1,50,898,25,6,57,3,0,1,0.5037448677113597
6600.0,11,0,35,2531,25,3,58,2,0,1,0.5037762116620988
7800.0,27,0,34,521,0,10,45,3,0,1,0.5037797839081044
8400.0,24,1,59,172,25,18,55,4,1,1,0.5037864448452031
7800.0,12,0,32,2983,25,3,56,3,0,1,0.5037916637041104
7800.0,22,0,36,376,0,13,50,3,0,1,0.5038047134252254
6500.0,6,0,37,3190,0,2,52,3,0,1,0.5038258140208558
6600.0,22,0,49,2574,0,6,50,1,0,1,0.5038360229372291
8250.0,13,0,30,1655,0,1,46,5,1,1,0.5038403672687283
7800.0,4,1,43,3075,25,18,58,3,0,1,0.5038542231648253
7700.0,11,0,60,575,0,1,59,4,1,1,0.5038660549317632
8400.0,18,0,56,1404,0,7,56,4,1,1,0.5038710799586748
6600.0,3,0,30,2622,0,18,59,1,0,1,0.503894601125509
8250.0,19,0,53,2718,25,1,59,5,1,1,0.5039019943008461
8400.0,17,1,38,660,0,12,39,4,1,1,0.5039191580843762
7200.0,13,0,44,1729,0,1,51,2,0,1,0.5039405296346009
8400.0,10,1,49,2894,0,11,45,4,1,1,0.503943843846807
7150.0,23,1,58,1643,25,12,51,3,0,1,0.5039445239082597
7000.0,5,0,52,2990,0,6,60,4,1,1,0.5039454174861605
6600.0,1,0,33,869,0,1,54,1,0,1,0.5039618436359867
7500.0,29,0,34,740,50,1,56,5,1,1,0.503971875823999
8400.0,3,1,40,1461,25,1,50,4,1,1,0.5039754684125856
6600.0,12,0,35,1777,0,5,50,1,0,1,0.5039804235386915
8400.0,15,0,51,495,0,15,60,4,1,1,0.50398913262929
8400.0,20,0,46,2462,0,19,56,4,1,1,0.5040048056416101
8400.0,13,0,31,3062,0,9,49,4,1,1,0.5040062761621673
6600.0,21,0,44,1958,0,19,55,1,0,1,0.5040175272145565
8400.0,22,1,57,1134,50,2,55,4,1,1,0.5040236668025448
7700.0,14,0,45,1659,0,12,56,4,1,1,0.5040360869925232
8400.0,27,0,55,1807,0,11,52,4,1,1,0.5040403010097924
6600.0,6,0,35,1083,0,8,55,2,0,1,0.5040829659102674
6600.0,15,0,34,1456,0,3,47,2,0,1,0.5040856708063584
7700.0,10,0,44,478,0,9,57,4,1,1,0.5041064709769139
7200.0,23,0,41,2256,25,11,57,2,0,1,0.504117599311158
7200.0,27,0,36,2188,50,6,59,2,0,1,0.5041369957222608
7150.0,20,0,41,1840,25,3,55,3,0,1,0.5041427289576149
7150.0,8,1,47,1362,0,7,44,3,0,1,0.5041463733178507
6600.0,26,1,41,2347,25,18,45,1,0,1,0.5041524626582382
6600.0,21,1,36,3162,25,7,40,2,0,1,0.5041663219771573
7800.0,12,1,31,3211,0,4,33,3,0,1,0.5042188696899674
7150.0,26,0,43,1537,25,2,52,3,0,1,0.5042205238027453
7800.0,16,0,30,2878,0,18,51,3,0,1,0.5042277717877026
8400.0,22,0,54,1699,0,15,56,4,1,1,0.5042311954978859
8400.0,12,1,43,3122,0,3,37,4,1,1,0.5042554418245426
6600.0,23,0,45,990,0,14,52,1,0,1,0.5042557329378414
8400.0,28,0,55,1066,0,10,51,4,1,1,0.5042609543580527
7500.0,26,0,33,1714,0,5,41,5,1,1,0.5042669154895834
7800.0,20,1,43,1644,75,3,59,3,0,1,0.5042707286387578
6600.0,8,1,53,1857,25,17,59,2,0,1,0.5042762758126101
8400.0,18,0,60,158,0,6,57,4,1,1,0.5042791138083368
8400.0,16,0,48,846,0,12,56,4,1,1,0.504308627956512
9000.0,0,0,38,2686,0,4,56,5,1,1,0.5043088699463653
6750.0,9,1,46,2208,0,17,47,5,1,1,0.5043273922719212
7000.0,17,1,32,2629,0,17,37,4,1,1,0.5043620214438707
7800.0,25,0,42,2064,25,5,53,3,0,1,0.5043623506912891
7150.0,22,0,47,1378,25,3,56,3,0,1,0.5043645179374078
8250.0,29,0,31,2112,50,13,59,5,1,1,0.5043649328362876
8400.0,23,0,48,313,0,3,48,4,1,1,0.504374813208304
6600.0,23,0,40,2444,0,10,47,2,0,1,0.5043781221133427
7800.0,22,0,60,2710,0,2,51,3,0,1,0.5043816490859184
7200.0,17,0,31,3031,0,11,47,2,0,1,0.5043949278798652
9000.0,15,0,44,1310,0,15,56,5,1,1,0.5044087356428748
7200.0,25,0,36,723,0,3,42,2,0,1,0.5044404348769849
6600.0,10,0,38,735,25,2,59,1,0,1,0.5044479933048811
7150.0,19,0,40,26,0,17,54,3,0,1,0.5044564419771982
7800.0,19,0,34,1343,25,8,55,3,0,1,0.5044735336485061
8250.0,17,0,40,1247,0,2,47,5,1,1,0.5044819292715632
7000.0,17,0,33,879,0,9,48,4,1,1,0.5044824363217878
7200.0,28,1,49,2712,50,17,54,2,0,1,0.5044850531707077
7000.0,7,0,43,1369,0,3,54,4,1,1,0.504501214708683
6600.0,28,0,40,1648,0,9,44,1,0,1,0.5045155479861595
6600.0,15,0,45,1770,0,5,51,1,0,1,0.5045264084056673
6600.0,4,0,45,1735,0,9,59,2,0,1,0.5045355107279462
6750.0,21,0,42,3160,25,13,58,5,1,1,0.5045431830531698
7000.0,27,1,34,2650,75,4,51,4,1,1,0.5045683657011223
6600.0,15,0,56,1088,0,2,54,1,0,1,0.504583476315091
6600.0,12,1,54,3071,25,1,48,1,0,1,0.5045941972980116
7800.0,20,0,35,2224,25,8,54,3,0,1,0.5045990025076927
6750.0,24,0,41,1588,25,1,51,5,1,1,0.5046341580065598
7000.0,6,0,32,2308,0,6,51,4,1,1,0.5046345960119125
7500.0,14,0,34,311,0,13,52,5,1,1,0.5046467146193443
8400.0,1,1,44,1516,0,14,49,4,1,1,0.5046513316290234
8250.0,20,0,39,449,0,10,49,5,1,1,0.5046607720036087
8400.0,20,0,43,309,0,15,53,4,1,1,0.5046659584905336
7800.0,18,0,30,695,25,12,56,3,0,1,0.5046749749101402
7200.0,28,0,30,2458,25,1,44,2,0,1,0.5046874547380491
7800.0,9,0,49,2197,0,13,59,3,0,1,0.5047247492908576
6600.0,19,0,31,2841,25,1,49,1,0,1,0.50472953944981
6600.0,29,0,55,2459,25,12,58,2,0,1,0.5047602948819805
6600.0,29,0,39,2314,0,17,46,1,0,1,0.5047702683469799
6500.0,29,0,50,1819,25,13,57,3,0,1,0.5047720014531737
6600.0,0,1,49,3383,0,12,49,1,0,1,0.5047743315949053
9000.0,25,0,30,504,25,16,54,5,1,1,0.5047756747986647
7150.0,29,0,56,759,0,8,49,3,0,1,0.5047837704528059
8400.0,21,0,35,1571,50,4,60,4,1,1,0.5048120140459008
8400.0,28,0,54,1659,0,18,53,4,1,1,0.5048120795254144
8400.0,22,1,56,1005,25,9,48,4,1,1,0.5048178155989428
9000.0,20,1,37,889,25,11,43,5,1,1,0.5048275906374483
7000.0,16,0,42,2762,25,2,55,4,1,1,0.5048845836713941
6750.0,9,0,45,1172,0,3,53,5,1,1,0.5048856454847459
7150.0,11,0,39,1327,25,1,57,3,0,1,0.5049219498774772
8400.0,18,0,41,253,25,6,57,4,1,1,0.5049265934762308
6500.0,19,0,55,2128,25,5,60,3,0,1,0.5049267225388859
6600.0,20,0,56,1733,0,10,54,1,0,1,0.5049298650662783
7200.0,8,0,53,2477,0,10,59,2,0,1,0.5049316917355623
7800.0,13,0,50,3294,0,15,57,3,0,1,0.5049370342406116
7500.0,24,0,34,3408,25,6,49,5,1,1,0.5049390407780456
7700.0,10,1,35,1696,25,11,47,4,1,1,0.5049445578245043
7500.0,28,0,44,2616,0,9,44,5,1,1,0.5049479919687998
9000.0,10,1,44,2064,25,19,54,5,1,1,0.5049485974474321
8250.0,15,0,45,173,0,15,56,5,1,1,0.504959605574601
6500.0,5,0,39,1660,0,2,52,3,0,1,0.504961651612188
8400.0,22,0,49,2812,0,9,49,4,1,1,0.5049744679081518
8400.0,3,0,48,1431,0,7,59,4,1,1,0.5049839362041089
7500.0,28,0,45,2180,0,8,44,5,1,1,0.5050340015552465
9000.0,26,0,35,1834,50,11,60,5,1,1,0.505041263610087
9000.0,15,0,49,3052,0,12,54,5,1,1,0.5050500893606755
7800.0,13,0,38,3059,0,8,49,3,0,1,0.5050681320449933
8400.0,11,0,30,3174,25,9,56,4,1,1,0.5050704184452793
7150.0,18,0,56,2341,0,3,51,3,0,1,0.5050885239910753
9000.0,7,0,52,2172,0,12,60,5,1,1,0.5051008589994042
6500.0,14,0,36,2651,25,1,53,3,0,1,0.5051024684877463
7500.0,16,0,39,1555,25,10,58,5,1,1,0.5051465251734558
7500.0,22,0,52,1638,0,6,49,5,1,1,0.5051894726906581
7500.0,27,0,51,2916,50,2,60,5,1,1,0.5052357783437327
7200.0,23,0,56,3365,0,17,54,2,0,1,0.5052654911901052
8250.0,18,1,49,2933,25,2,42,5,1,1,0.5052843658272331
8400.0,28,0,46,2099,25,1,49,4,1,1,0.5052982527535727
6600.0,19,0,43,283,0,2,46,1,0,1,0.5052984267886119
6750.0,23,0,36,3393,25,5,49,5,1,1,0.5053486471682181
8400.0,29,1,42,450,75,19,60,4,1,1,0.5053527132264303
7500.0,6,1,30,3319,0,7,35,5,1,1,0.5053645523672747
8400.0,20,0,37,834,25,12,56,4,1,1,0.5053850832182377
7800.0,28,0,45,3270,0,13,45,3,0,1,0.5053874773678658
8400.0,28,0,50,3314,50,1,58,4,1,1,0.5054003974106595
8250.0,28,0,31,2791,0,15,41,5,1,1,0.5054014407545872
8250.0,7,0,30,135,0,7,50,5,1,1,0.5054229639960028
8250.0,17,0,54,2348,0,9,53,5,1,1,0.5054353645841213
8250.0,8,0,51,520,0,9,58,5,1,1,0.5054440972318034
6600.0,13,0,50,3089,0,19,58,1,0,1,0.5054665076088186
9000.0,5,1,43,3297,0,19,46,5,1,1,0.5054872192378843
8400.0,16,0,56,1042,0,9,55,4,1,1,0.5055082957703608
6500.0,23,1,41,2288,75,14,59,3,0,1,0.5055110984327996
7150.0,21,0,32,2713,25,18,55,3,0,1,0.5055139788316191
7800.0,29,0,33,1074,50,17,60,3,0,1,0.5055334793220598
6600.0,21,0,33,1126,0,8,43,1,0,1,0.5055489047396137
6600.0,23,0,44,2752,0,6,44,2,0,1,0.5055497694198777
6600.0,20,0,37,1020,0,12,47,1,0,1,0.5055763500869624
7800.0,21,0,33,677,25,19,57,3,0,1,0.5056023049933566
